MMM,[50,653,29,523,500,148,899,751]
ABT,[535,497,93,119,616,552,875,870]
ABBV,[300,78,785,141,125,100,335,962]
ACN,[905,264,258,868,53,670,141,892]
ATVI,[838,487,775,550,966,942,226,639]
AYI,[649,506,197,167,59,67,782,729]
ADBE,[817,257,97,961,665,545,881,315]
AMD,[399,928,577,263,19,927,345,682]
AAP,[398,553,247,467,477,8,325,941]
AES,[238,622,549,89,568,876,627,35]
AET,[95,401,118,649,135,639,757,489]
AMG,[279,200,676,740,338,214,671,737]
AFL,[911,855,788,796,32,162,774,108]
A,[895,759,422,177,563,141,83,649]
APD,[523,181,170,243,821,921,294,869]
AKAM,[144,984,376,507,206,171,299,685]
ALK,[641,489,318,110,600,301,107,308]
ALB,[818,703,661,886,44,525,943,163]
ARE,[66,129,921,360,533,48,749,521]
ALXN,[519,65,565,701,462,286,13,501]
ALLE,[391,323,80,308,662,989,264,535]
AGN,[616,724,979,515,865,659,14,411]
ADS,[417,574,323,602,174,242,234,136]
LNT,[316,417,64,757,716,86,812,558]
ALL,[625,338,899,486,574,38,405,673]
GOOGL,[423,896,708,543,594,989,281,478]
GOOG,[573,878,548,161,362,196,36,189]
MO,[48,767,355,420,629,405,71,275]
AMZN,[632,589,678,877,474,605,953,279]
AEE,[131,890,678,922,31,586,992,463]
AAL,[93,896,904,914,968,682,862,423]
AEP,[931,339,168,835,604,100,454,444]
AXP,[730,748,912,746,410,144,633,426]
AIG,[646,953,539,671,522,431,413,79]
AMT,[195,61,258,81,971,313,299,908]
AWK,[201,928,557,932,634,880,253,122]
AMP,[442,749,891,872,834,553,33,686]
ABC,[989,256,720,14,709,288,393,221]
AME,[627,143,227,380,237,175,396,170]
AMGN,[704,220,337,400,431,400,97,439]
APH,[128,57,505,924,864,886,788,109]
APC,[309,959,747,417,877,930,279,772]
ADI,[930,857,874,834,943,433,816,302]
ANTM,[4,456,147,429,382,902,596,469]
AON,[312,68,966,393,296,957,66,883]
APA,[230,902,795,303,328,443,483,410]
AIV,[196,481,64,218,262,891,924,766]
AAPL,[893,241,853,628,200,275,967,805]
AMAT,[876,909,347,622,139,965,145,781]
ADM,[601,23,197,27,800,453,859,767]
ARNC,[490,316,524,544,271,568,349,298]
AJG,[339,715,445,371,777,522,960,269]
AIZ,[223,59,186,920,444,505,770,540]
T,[721,195,597,269,198,742,758,993]
ADSK,[393,666,144,785,751,662,714,776]
ADP,[267,370,277,105,101,172,28,239]
AN,[516,187,105,406,989,253,982,627]
AZO,[80,996,379,445,988,39,237,231]
AVB,[138,266,287,686,790,575,353,664]
AVY,[50,196,64,202,441,21,359,491]
BHI,[89,273,86,641,693,11,580,10]
