MMM,[457,434,914,527,718,44,196,465]
ABT,[455,548,879,819,28,168,16,871]
ABBV,[575,508,883,156,562,347,42,185]
ACN,[246,697,28,213,547,537,745,84]
ATVI,[773,592,158,716,694,115,614,114]
AYI,[690,94,85,384,601,321,477,547]
ADBE,[763,731,229,578,513,58,43,740]
AMD,[567,2,586,151,203,656,486,72]
AAP,[588,914,206,632,688,352,861,610]
AES,[234,14,400,997,845,382,191,274]
AET,[258,257,300,997,691,12,298,414]
AMG,[995,418,180,55,285,694,437,713]
AFL,[431,70,58,657,472,945,254,979]
A,[984,832,389,184,925,647,336,206]
APD,[848,764,565,761,76,688,935,305]
AKAM,[391,342,193,421,50,382,864,901]
ALK,[223,219,76,572,49,394,541,319]
ALB,[792,861,9,992,176,942,776,848]
ARE,[489,388,409,452,695,702,825,866]
ALXN,[234,145,289,868,903,947,582,345]
ALLE,[854,883,700,841,985,603,145,415]
AGN,[807,346,501,243,458,561,314,2]
ADS,[491,263,540,412,844,645,333,54]
LNT,[831,821,944,437,94,20,418,373]
ALL,[86,882,720,893,284,875,660,546]
GOOGL,[399,180,150,852,236,772,77,667]
GOOG,[973,943,594,119,233,886,861,820]
MO,[155,377,219,644,487,929,821,58]
AMZN,[916,942,25,451,107,273,634,421]
AEE,[818,544,524,471,776,544,938,875]
AAL,[408,638,450,997,304,665,617,146]
AEP,[25,794,244,981,405,704,416,205]
AXP,[440,130,683,517,922,144,79,86]
AIG,[641,520,416,814,49,678,295,320]
AMT,[240,96,607,796,458,582,159,963]
AWK,[717,666,810,834,238,87,576,656]
AMP,[387,746,897,115,420,774,180,71]
ABC,[67,855,341,351,805,138,928,380]
AME,[558,999,448,932,6,619,233,575]
AMGN,[52,319,666,215,209,683,255,266]
APH,[674,530,5,590,838,212,345,968]
APC,[710,931,204,16,56,509,356,684]
ADI,[862,759,218,578,960,848,128,336]
ANTM,[676,355,764,380,809,957,933,84]
AON,[993,596,253,179,431,650,601,493]
APA,[770,417,969,841,690,710,889,46]
AIV,[527,945,136,372,693,60,963,974]
AAPL,[364,158,477,917,839,340,592,982]
AMAT,[628,392,985,886,494,429,747,234]
ADM,[350,182,787,215,913,947,763,330]
ARNC,[533,952,706,835,873,693,773,432]
AJG,[138,443,271,291,912,48,431,353]
AIZ,[987,787,935,239,934,437,151,794]
T,[910,931,217,653,562,952,675,269]
ADSK,[648,755,93,187,132,955,258,404]
ADP,[67,86,323,594,622,224,424,534]
AN,[305,748,167,267,663,764,891,675]
AZO,[441,104,534,250,314,812,470,360]
AVB,[790,266,333,843,938,147,87,167]
AVY,[529,175,862,26,374,395,135,856]
BHI,[300,944,192,611,326,231,829,871]
BLL,[375,999,988,773,832,254,612,328]
BAC,[506,933,425,312,892,656,91,171]
BK,[995,537,104,205,878,529,878,375]
BCR,[257,828,6,169,162,970,764,689]
BAX,[550,860,382,810,370,624,47,486]
BBT,[71,493,660,881,311,263,125,219]
BDX,[984,739,433,996,197,400,658,865]
BBBY,[801,148,557,398,32,23,919,845]
BRK.B,[960,194,663,107,128,802,636,348]
BBY,[580,446,960,54,559,972,437,244]
BIIB,[589,388,90,301,378,452,298,365]
BLK,[530,497,344,64,398,657,308,293]
